drug name	indication
trihexyphenidyl	parkinsonism
trilostane	Cushing's syndrome
trimebutine	irritable bowel syndrome
trimetazidine	angina pectoris
trimethadione	seizures
trimethobenzamide	vomiting
trimethobenzamide	nausea
trimethobenzamide	gastroenteritis
trimethoprim	urinary tract infections
trimethoprim	ear infections
trimethoprim	diarrhea
trimethoquinol	asthma
trimetozine	sedative
trimipramine	depression
trioxsalen	vitiligo
trioxsalen	eczema
tripelennamine	asthma
tripelennamine	allergic rhinitis
tripelennamine	urticaria
triprolidine	allergic rhinitis
triptorelin	prostate cancer
triptorelin	breast cancer
triptorelin	precocious puberty
triptorelin	endometriosis
triptorelin	myoma
triptorelin	gender dysphoria
trofosfamide	medulloblastoma
troleandomycin	pneumonia
troleandomycin	bronchitis
troleandomycin	tonsillitis
troleandomycin	sinusitis
tromaril	eye inflammation
tropicamide	mydriasis diagnostic
tropicamide	cycloplegia diagnostic
tropisetron	nausea
tropisetron	vomiting
trospium	urinary incontinence
trospium	urinary frequency
troxipide	gastroesophageal reflux disease (GERD)
tryptophan	anxiety
tryptophan	bloating
tryptophan	constipation
tryptophan	fatigue
tryptophan	sleeplessness
tuaminoheptane	nasal congestion
tubocurarine	anesthetic
tulobuterol	asthma
tylosin	gram-positive bacterial infections
tylosin	colitis
tymazoline	allergic rhinitis
ubenimex	acute myeloid leukemia (AML)
udenafil	erectile dysfunction
ufenamate	eczema
ufenamate	dermatitis
ulifloxacin	gram-negative bacterial infections
ulifloxacin	gram-positive bacterial infections
ulipristal	contraceptive
umeclidinium	chronic obstructive pulmonary disease (COPD)
umeclidinium	bronchitis
umeclidinium	emphysema
undecylenic-acid	tinea pedis
undecylenic-acid	tinea corporis
uracil-mustard	non-Hodgkin lymphoma (NHL)
urapidil	hypertension
urea	psoriasis
urea	xerosis cutis
urea	ichthyosis vulgaris
urea	eczema
urea	keratosis
urea	dermatitis
uridine-triacetate	orotic aciduria
ursodiol	gallstones
valaciclovir	shingles
valaciclovir	virus herpes simplex (HSV)
valbenazine	dyskinesia
valethamate	labor induction
valganciclovir	cytomegalovirus (CMV)
valnemulin	dysentry
valnemulin	colitis
valnemulin	pneumonia
valnoctamide	sleeplessness
valproic-acid	epilepsy
valproic-acid	seizures
valproic-acid	seizures
valpromide	epilepsy
valrubicin	bladder cancer
valsartan	hypertension
valsartan	congestive heart failure
valsartan	congestive heart failure
vancomycin	endocarditis
vandetanib	medullary thyroid cancer (MTC)
vardenafil	erectile dysfunction
varenicline	smoking cessation
vasopressin	abdominal distension
vecuronium	muscle relaxant
vedaprofen	pain relief
vedaprofen	fever
velpatasvir	hepatitis C
vemurafenib	melanoma
venetoclax	chronic lymphocytic leukemia (CLL)
venlafaxine	depression
venlafaxine	generalized anxiety disorder (GAD)
venlafaxine	panic disorders
venlafaxine	social anxiety disorder
verapamil	hypertension
vernakalant	atrial fibrillation (AF)
verteporfin	macular degeneration
vesnarinone	congestive heart failure
vidarabine	virus herpes simplex (HSV)
vidarabine	varicella-zoster virus (VZV)
vigabatrin	seizures
vigabatrin	spasms
vilanterol	chronic obstructive pulmonary disease (COPD)
vilazodone	depression
vildagliptin	diabetes mellitus
viloxazine	depression
vinblastine	Hodgkin's lymphoma
vinblastine	true histiocytic lymphoma (THL)
vinblastine	mycosis
vinblastine	small lymphocytic lymphoma (SLL)
vinblastine	testicular carcinoma
vinblastine	Kaposi sarcoma
vinburnine	stroke
vincristine	acute lymphoblastic leukemia (ALL)
vindesine	breast cancer
vindesine	non-small cell lung cancer (NSCLC)
vindesine	melanoma
vinflunine	bladder cancer
vinorelbine	non-small cell lung cancer (NSCLC)
vinpocetine	stroke
vinpocetine	senile dementia
viomycin	tuberculosis
vismodegib	basal cell carcinoma (BCC)
vitamin-b12	megaloblastic anemia
voglibose	diabetes mellitus
voglibose	hyperglycemia
vonoprazan	peptic ulcer disease (PUD)
vorapaxar	myocardial infarction
vorapaxar	peripheral artery disease (PAD)
voriconazole	esophageal candidiasis
voriconazole	aspergillosis
voriconazole	skin infections
vorinostat	cutaneous T-cell lymphoma (CTCL)
vortioxetine	depression
warfarin	deep vein thrombosis (DVT)
warfarin	pulmonary embolism (PE)
warfarin	atrial fibrillation (AF)
warfarin	myocardial infarction
wr99210	malaria
xipamide	edema
xipamide	hypertension
xylazine	anesthetic
xylometazoline	nasal congestion
xylometazoline	allergic rhinitis
yohimbine	cardiac arrythmia
yohimbine	bradycardia
zafirlukast	asthma
zalcitabine	human immunodeficiency virus (HIV-1)
zaltoprofen	fever
zaltoprofen	pain relief
zanamivir	influenza A virus infection
zidovudine	human immunodeficiency virus (HIV-1)
zidovudine	acquired immunodeficiency syndrome (AIDS)
zileuton	asthma
zilpaterol	weight-gain aid
zinc-undecylenate	tinea pedis
ziprasidone	schizophrenia
ziprasidone	bipolar disorder
zofenopril-calcium	hypertension
zoledronic-acid	Paget's disease
zolimidine	peptic ulcer disease (PUD)
zolimidine	gastroesophageal reflux disease (GERD)
zolmitriptan	migraine headache
zonisamide	seizures
zonisamide	epilepsy
zotarolimus	coronary artery restenosis
zotepine	schizophrenia
zuclopenthixol	schizophrenia
zuclopenthixol	bipolar disorder
